CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,2024_FCLTY_NM,2024_DATA_CO,2023_DATA_CO,2024_TOT_PROGRM_CO,2023_TOT_PROGRM_CO,2024_VIEWNG_PRICE,2023_VIEWNG_PRICE,2024_ARTGR_EMP_CO,2023_ARTGR_EMP_CO,2024_BULD_AR_VALUE,2023_BULD_AR_VALUE,2024_DSPY_AR_CN,2023_DSPY_AR_CN,FLAG_NM,2024_food_count_by_dong,2024_VIEWNG_NMPR_CO,2023_VIEWNG_NMPR_CO,viewer_decline,DATA_CO_GROWTH_RATE,VIEWNG_PRICE_GROWTH_RATE,TOT_PROGRM_CO_GROWTH_RATE,ARTGR_EMP_CO_GROWTH_RATE,DSPY_AR_CN_GROWTH_RATE
서울,용산구,한강로동,아모레퍼시픽미술관,10000,343.3636363636364,1.0,0.0,7465,8155.8441558441555,12,12.0,6962.0,6962.0,3122.0,3122.0,사립,970,90000,100000,1,28.123643102991792,-0.08470541401273882,0.0,0.0,0.0
서울,종로구,삼청동,아트선재센터,2588,408.73333333333335,19.0,18.0,7465,10000.0,8,2.172661870503597,1472.0,1472.0,1276.0,1276.0,사립,214,46132,50292,1,5.331756646550318,-0.2535,0.05555555555555555,2.6821192052980134,0.0
서울,종로구,종로1.2.3.4가동,아트센터나비미술관,6012,426.1218181818182,35.0,41.0,7465,8155.8441558441555,5,8.0,1059.0,1059.0,432.0,432.0,사립,2108,42000,41715,0,13.108641574965757,-0.08470541401273882,-0.14634146341463414,-0.375,0.0
서울,서초구,양재1동,유리지공예관,1500,426.1218181818182,5.0,5.0,7465,8155.8441558441555,1,1.0,618.05,618.05,254.0,254.0,사립,546,1870,1870,0,2.5201201534345707,-0.08470541401273882,0.0,0.0,0.0
서울,종로구,종로1.2.3.4가동,일민미술관,401,401.0,8.0,31.0,7465,7000.0,8,8.0,2363.54,2363.5,958.47,958.4,사립,2108,26275,27481,1,0.0,0.06642857142857143,-0.7419354838709677,0.0,7.303839732893366e-05
서울,종로구,부암동,자하미술관,10000,365.0,10.0,10.0,7465,8155.8441558441555,4,2.172661870503597,1494.8055263157894,3172.388947368421,712.0,712.0,사립,112,10500,10500,0,26.397260273972602,-0.08470541401273882,0.0,0.8410596026490068,0.0
서울,서초구,서초3동,(재)한원미술관,3011,329.125,0.0,0.0,7465,8155.8441558441555,3,3.0,479.78,479.78,361.0,361.0,사립,958,4450,4450,0,8.148499810102544,-0.08470541401273882,0.0,0.0,0.0
서울,강남구,압구정동,코리아나미술관,4000,408.73333333333335,14.0,9.0,7465,8155.8441558441555,5,5.0,1194.56,1194.56,641.0,641.0,사립,986,5223,3069,0,8.786331756646549,-0.08470541401273882,0.5555555555555556,0.0,0.0
서울,종로구,평창동,토탈미술관,4535,426.1218181818182,9.0,0.0,7465,8155.8441558441555,1,1.0,661.0,661.0,561.0,561.0,사립,121,3564,7534,1,9.642496597217184,-0.08470541401273882,0.0,0.0,0.0
서울,강남구,대치4동,포스코미술관,4535,426.1218181818182,4.0,0.0,7465,8155.8441558441555,1,2.0,691.0,691.0,691.0,691.0,사립,662,12000,12000,0,9.642496597217184,-0.08470541401273882,0.0,-0.5,0.0
