FCLTY_NM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,DATA_CO,TOT_PROGRM_CO,VIEWNG_PRICE,ARTGR_EMP_CO,BULD_AR_VALUE,DSPY_AR_CN,FLAG_NM,VIEWNG_NMPR_CO
양주시립장욱진미술관,경기,양주시,장흥면,300,25.0,5000,2,1852.0,481.0,공립,67644
양평군립미술관,경기,양평군,양평읍,1100,0.0,2750,2,4185.0,1685.0,공립,48842
여주시 미술관 아트뮤지엄 려,경기,여주시,여흥동,4535,9.0,2750,2,1056.7,334.6,공립,25000
오산시립미술관,경기,오산시,중앙동,10613,1.0,2750,2,3172.62,648.75,공립,8000
이천시립월전미술관,경기,이천시,관고동,2588,16.0,2000,2,2008.0,637.0,공립,19068
양주시립민복진미술관,경기,양주시,장흥면,5000,6.0,5000,2,895.0,447.0,공립,70149
C ART MUSEUM,경기,양평군,양동면,1000,2.0,7000,2,2067.0,295.65,사립,1000
CICA미술관,경기,김포시,양촌읍,4535,21.0,7000,2,712.0,600.0,사립,2250
가일미술관,경기,가평군,청평면,2588,3.0,7465,1,2300.0,1040.0,사립,783
구하우스 미술관,경기,양평군,서종면,400,5.0,15000,7,1683.0,787.0,사립,17164
근현대사미술관담다,경기,용인시,상하동,5100,7.0,5000,1,807.3,467.0,사립,7500
남송미술관,경기,가평군,북면,3100,0.0,6000,4,1498.0,1192.0,사립,2457
닻미술관,경기,광주시,초월읍,600,4.0,7465,3,650.0,315.0,사립,2396
마가미술관,경기,용인시,모현읍,300,4.0,5000,1,752.0,340.0,사립,2400
맥아트미술관,경기,안산시,대부동,4535,6.0,10000,1,901.0,132.0,사립,35000
모란미술관,경기,남양주시,화도읍,4535,8.0,5000,3,817.0,544.22,사립,4387
미메시스아트뮤지엄,경기,파주시,교하동,500,10.0,5000,2,1389.0,2374.0,사립,6771
백영수미술관,경기,의정부시,호원1동,250,4.0,5000,1,372.0,106.0,사립,2314
보름산미술관,경기,김포시,고촌읍,1200,5.0,7465,2,1081.0,299.0,사립,12000
블루메미술관,경기,파주시,탄현면,4535,8.0,7465,2,661.37,270.51,사립,1815
서호미술관,경기,남양주시,화도읍,250,12.0,6400,2,440.1,362.8,사립,8100
선바위미술관,경기,과천시,과천동,2588,0.0,2000,1,1539.0,742.0,사립,4550
설미재미술관,경기,가평군,설악면,139,15.0,3000,3,500.0,104.0,사립,1000
소다미술관,경기,화성시,화산동,4535,9.0,7465,2,657.0,499.0,사립,8345
소전미술관,경기,시흥시,대야동,9410,2.0,1000,1,962.0,365.0,사립,4723
아트린뮤지움,경기,파주시,광탄면,500,17.0,7000,1,1532.0,534.0,사립,5222
아트센터 화이트블럭,경기,파주시,탄현면,2588,9.0,3000,5,1498.0,617.0,사립,3488
안상철미술관,경기,양주시,백석읍,4535,7.0,7465,1,609.0,280.0,사립,4170
안젤리미술관,경기,용인시,이동읍,15000,12.0,6000,4,859.0,298.0,사립,6500
엄미술관,경기,화성시,봉담읍,3011,6.0,7465,3,398.0,258.0,사립,2926
엠엠아트센터,경기,평택시,포승읍,350,0.0,7465,1,2251.0,892.5,사립,18000
여주미술관,경기,여주시,여흥동,750,10.0,5000,1,1032.0,386.32,사립,1427
영은미술관,경기,광주시,쌍령동,45000,3.0,10000,7,6372.0,1234.0,사립,5016
유리섬미술관,경기,안산시,대부동,2588,5.0,10000,1,1802.0,257.0,사립,35000
이함미술관,경기,양평군,강하면,2588,0.0,7465,2,1215.57,943.85,사립,13070
일지미술관,경기,가평군,조종면,3011,0.0,7465,2,168.0,84.0,사립,530
종이미술관,경기,안산시,대부동,4535,31.0,9000,1,595.0,519.0,사립,33000
죽포미술관,경기,여주시,산북면,150,0.0,7465,2,543.6,1105.8,사립,500
